backbone,corruption_type,severity_level,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,logit_gap_trim1,logit_gap_ci_lo,logit_gap_ci_hi,mahalanobis_auroc,msp_auroc,seconds
resnet50,fog,3,0.026763319999999924,0.020683490624999967,0.03310978499999998,-0.7065169544959158,-0.7780556892099288,-0.6282782525048122,0.60207104,0.5753077200000001,45.4353187084198
resnet50,fog,4,0.034397330000000004,0.02849728262500005,0.04016071937499991,-1.2894483344852894,-1.370867394120774,-1.2110989408487967,0.66652208,0.63212475,44.09683156013489
resnet50,fog,5,0.044803539999999975,0.04023781012499996,0.049477823375000035,-2.8468695087374094,-2.927500891274388,-2.771475828496369,0.8059783500000001,0.7611748100000001,44.30287027359009
resnet50,brightness,1,0.0013784199999999913,-0.005271404500000061,0.00844314399999999,-0.05287647611348589,-0.12136036402320323,0.023435441773906773,0.506359345,0.504980925,45.16765904426575
resnet50,brightness,2,0.00487091499999992,-0.0016415354999998796,0.01146660749999998,-0.17764466562422143,-0.24819295339255348,-0.10159074609470962,0.522828225,0.5179573100000001,43.843074798583984
resnet50,brightness,3,0.01139147500000004,0.004742245999999992,0.017885341499999992,-0.36886610350091864,-0.4414083181619477,-0.29273159713208513,0.549122625,0.5377311499999999,45.07613205909729
resnet50,brightness,4,0.021652869999999935,0.01516328100000002,0.0281155442500001,-0.6231303409218789,-0.6934706230140455,-0.5459088999883739,0.585238355,0.563585485,45.2841317653656
resnet50,brightness,5,0.05170599000000009,0.045496287750000045,0.05780686612500008,-1.279563779456307,-1.351831364003414,-1.2041565728330126,0.6769963050000001,0.625290315,43.90648627281189
resnet50,contrast,1,0.009896015000000036,0.0035162676249999385,0.01662061887499997,-0.12684766558898275,-0.19673612173158603,-0.051406993244606715,0.52437885,0.5144828349999999,45.213993072509766
resnet50,contrast,2,0.050845640000000025,0.04496278075000001,0.057013882375000005,-0.820810624566235,-0.8924618940552371,-0.7471913687789846,0.636159975,0.585314335,45.636486768722534
resnet50,contrast,3,0.07663257499999998,0.07114833012499998,0.08241731350000005,-1.461449217827468,-1.5316946491293568,-1.3859060732509465,0.721390775,0.6447582000000001,44.18442153930664
resnet50,contrast,4,0.09935358000000005,0.09452254250000001,0.10448106875000002,-2.5844983468247023,-2.6590908348167903,-2.5074019786241313,0.83461889,0.73526531,44.39647841453552
resnet50,contrast,5,0.07172442999999995,0.0681612972500001,0.07522126300000005,-5.920278334548501,-5.996515250258336,-5.851313747921973,0.98368532,0.91196089,44.520365953445435
resnet50,elastic_transform,1,0.0069654249999999696,0.0008932411249999884,0.013070280249999816,-0.8676915343614642,-0.9393195562876495,-0.7924033795770559,0.60403106,0.597065635,45.43481969833374
resnet50,elastic_transform,2,0.01138172500000001,0.00526982975000001,0.017723275124999962,-0.8525495435645869,-0.9241263671856996,-0.7778381092043053,0.608935445,0.59755372,43.899898052215576
